"","ID","log2FC","pvalue","padj","lfcSE","stat","observed_expression_in_control","condition","hgnc_symbol","entrezgene_id","ensembl_gene_id"
"1","ENSG00000276701",0.755574858756803,0.276069314791914,0.989959430947316,0.693702302616701,1.08919179871065,"UP","control","MIF",4282,"ENSG00000276701"
"2","ENSG00000111640",0.729030686478935,0.206435756127755,0.989959430947316,0.577026350289123,1.26342702740291,"UP","control","GAPDH",2597,"ENSG00000111640"
"3","ENSG00000137818",0.725432561677828,0.213691833001449,0.989959430947316,0.583390059350654,1.24347775566364,"UP","control","RPLP1",6176,"ENSG00000137818"
"4","ENSG00000293319",0.675579133754871,0.290689357382094,0.989959430947316,0.639383285549356,1.05661056368469,"UP","control",NA,NA,"ENSG00000293319"
"5","ENSG00000108518",0.594973853851988,0.451106060026892,0.989959430947316,0.78953781129822,0.753572337306665,"UP","control","PFN1",5216,"ENSG00000108518"
"6","ENSG00000118181",0.526796090822186,0.402046739033426,0.989959430947316,0.628656372181879,0.83797144852574,"UP","control","RPS25",6230,"ENSG00000118181"
"7","ENSG00000167996",0.44902138052132,0.343677527669613,0.989959430947316,0.474189480288729,0.946923960118042,"UP","control","FTH1",2495,"ENSG00000167996"
"8","ENSG00000145425",0.435346055311515,0.423386203558524,0.989959430947316,0.543801659430421,0.800560365644152,"UP","control","RPS3A",6189,"ENSG00000145425"
"9","ENSG00000083845",0.429641565863774,0.480294983032116,0.989959430947316,0.608705583180932,0.705828199601164,"UP","control","RPS5",6193,"ENSG00000083845"
"10","ENSG00000198888",0.401400961053413,0.431201406169673,0.989959430947316,0.509950274842829,0.787137454092222,"UP","control","MT-ND1",4535,"ENSG00000198888"
"11","ENSG00000156482",0.364419814376664,0.444496663006255,0.989959430947316,0.476601265520706,0.764622003213779,"UP","control","RPL30",6156,"ENSG00000156482"
"12","ENSG00000142937",0.350608988407335,0.51691516958997,0.989959430947316,0.540973181237606,0.648107892530334,"UP","control","RPS8",6202,"ENSG00000142937"
"13","ENSG00000265681",0.31424877594489,0.524621457466974,0.989959430947316,0.493917195532197,0.636237771811702,"UP","control","RPL17",6139,"ENSG00000265681"
"14","ENSG00000149806",0.29208159674221,0.655250990314237,0.989959430947316,0.654188294677647,0.446479399155459,"UP","control","FAU",2197,"ENSG00000149806"
"15","ENSG00000196262",0.289192526610688,0.59789273873169,0.989959430947316,0.548301630423088,0.527433278627198,"UP","control","PPIA",5478,"ENSG00000196262"
"16","ENSG00000198242",0.288593361055419,0.550523106659963,0.989959430947316,0.48342503816459,0.596976445719725,"UP","control","RPL23A",6147,"ENSG00000198242"
"17","ENSG00000105193",0.282887332761235,0.533835120619644,0.989959430947316,0.454684108034977,0.622162349117056,"UP","control","RPS16",6217,"ENSG00000105193"
"18","ENSG00000241343",0.271364180393457,0.657826138275552,0.989959430947316,0.612675719813079,0.442916491739297,"UP","control","RPL36A",6173,"ENSG00000241343"
"19","ENSG00000136942",0.267884253355514,0.589416223927085,0.989959430947316,0.496374084489339,0.539682190763664,"UP","control","RPL35",11224,"ENSG00000136942"
"20","ENSG00000233927",0.263834585255869,0.579652337139754,0.989959430947316,0.476328039861703,0.553892618482991,"UP","control","RPS28",6234,"ENSG00000233927"
"21","ENSG00000089009",0.253323532099978,0.707419703961311,0.989959430947316,0.674946712180523,0.375323751532289,"UP","control","RPL6",6128,"ENSG00000089009"
"22","ENSG00000172809",0.253317364779437,0.559180399248377,0.989959430947316,0.433718551980686,0.584059325160519,"UP","control","RPL38",6169,"ENSG00000172809"
