"abundance.hct_ctr"	"abundance.hct_ki"	"counts.hct_ctr"	"counts.hct_ki"	"length.hct_ctr"	"length.hct_ki"	"countsFromAbundance"
0	0	0	0	1677.625	1677.625	"no"
0	0	0	0	3223.27272727273	3223.27272727273	"no"
0	0	0	0	3430.75	3430.75	"no"
0	0	0	0	1358.2	1358.2	"no"
0	0	0	0	1971	1971	"no"
0	0	0	0	1654.2	1654.2	"no"
326.690623979097	0	2.00000000000003	0	767.007983398438	841.85753168471	"no"
0	0	0	0	992.333333333333	992.333333333333	"no"
0	0	0	0	1977.6	1977.6	"no"
0	0	0	0	1215.66666666667	1215.66666666667	"no"
0	0	0	0	1584.57142857143	1584.57142857143	"no"
0	0	0	0	1303	1303	"no"
0	0	0	0	3656	3656	"no"
0	0	0	0	3902.47	3902.47	"no"
0	0	0	0	1917	1917	"no"
0	0	0	0	1484.57142857143	1484.57142857143	"no"
0	0	0	0	1893.40909090909	1893.40909090909	"no"
0	0	0	0	835.2	835.2	"no"
0	0	0	0	1570.71428571429	1570.71428571429	"no"
0	0	0	0	3239.25	3239.25	"no"
0	0	0	0	1364.11111111111	1364.11111111111	"no"
0	0	0	0	6612.47058823529	6612.47058823529	"no"
326.690623979097	314.169022934341	2.00000000000003	2.00000000000001	977	977	"no"
0	0	0	0	1526	1526	"no"
0	0	0	0	4509.83333333333	4509.83333333333	"no"
0	0	0	0	1092.4	1092.4	"no"
0	0	0	0	1348.8	1348.8	"no"
0	0	0	0	5929	5929	"no"
0	0	0	0	1964.47619047619	1964.47619047619	"no"
0	0	0	0	1761.88	1761.88	"no"
0	0	0	0	2000.88888888889	2000.88888888889	"no"
0	0	0	0	1842.8	1842.8	"no"
0	0	0	0	2833.91666666667	2833.91666666667	"no"
0	0	0	0	589	589	"no"
0	0	0	0	1211	1211	"no"
0	0	0	0	1477.54545454545	1477.54545454545	"no"
0	157.08451146717	0	1.00000000000001	1130.77904906197	1158	"no"
0	0	0	0	1558	1558	"no"
0	0	0	0	1605	1605	"no"
0	0	0	0	1600	1600	"no"
0	0	0	0	613.666666666667	613.666666666667	"no"
0	0	0	0	2333	2333	"no"
0	0	0	0	2776.42857142857	2776.42857142857	"no"
0	0	0	0	984.75	984.75	"no"
0	0	0	0	1138.92857142857	1138.92857142857	"no"
0	0	0	0	2389.90909090909	2389.90909090909	"no"
0	0	0	0	1503	1503	"no"
0	0	0	0	1933.4	1933.4	"no"
0	0	0	0	1642.71428571429	1642.71428571429	"no"
0	0	0	0	2326.25	2326.25	"no"
0	0	0	0	5992.33333333333	5992.33333333333	"no"
0	0	0	0	1031.28571428571	1031.28571428571	"no"
0	0	0	0	1240.9	1240.9	"no"
0	0	0	0	1686.25	1686.25	"no"
0	0	0	0	772	772	"no"
0	0	0	0	1816.11111111111	1816.11111111111	"no"
163.345311989548	0	1.00000000000002	0	3686.4	3686.4	"no"
326.690623979096	157.08451146717	2.00000000000002	1.00000000000001	1021	1021	"no"
0	0	0	0	1213.28571428571	1213.28571428571	"no"
0	0	0	0	3204.9	3204.9	"no"
0	0	0	0	4100.5	4100.5	"no"
0	0	0	0	2890.26666666667	2890.26666666667	"no"
0	0	0	0	1628.93333333333	1628.93333333333	"no"
0	0	0	0	2241.33333333333	2241.33333333333	"no"
0	0	0	0	2158.89473684211	2158.89473684211	"no"
490.035935968645	0	3.00000000000004	0	805	805	"no"
0	0	0	0	1086.26666666667	1086.26666666667	"no"
0	0	0	0	1482.75	1482.75	"no"
0	0	0	0	838.833333333333	838.833333333333	"no"
0	0	0	0	2983	2983	"no"
0	0	0	0	1523.35714285714	1523.35714285714	"no"
0	0	0	0	1044	1044	"no"
0	0	0	0	2083.53086419753	2083.53086419753	"no"
0	157.08451146717	0	1.00000000000001	2103.5	2103.5	"no"
0	0	0	0	1200	1200	"no"
0	0	0	0	1203.09523809524	1203.09523809524	"no"
0	0	0	0	4260.75	4260.75	"no"
0	0	0	0	2198.35714285714	2198.35714285714	"no"
0	0	0	0	1210	1210	"no"
0	0	0	0	1346.96	1346.96	"no"
0	0	0	0	2135.55555555556	2135.55555555556	"no"
0	0	0	0	2463.66666666667	2463.66666666667	"no"
0	0	0	0	2435.71428571429	2435.71428571429	"no"
0	0	0	0	1321	1321	"no"
0	0	0	0	1007.83333333333	1007.83333333333	"no"
0	0	0	0	2934	2934	"no"
0	0	0	0	1610.2	1610.2	"no"
0	0	0	0	2873	2873	"no"
653.381247958193	785.422557335852	4.00000000000006	5.00000000000004	891	891	"no"
0	0	0	0	1676	1676	"no"
0	0	0	0	4039.33333333333	4039.33333333333	"no"
0	0	0	0	3741.38461538462	3741.38461538462	"no"
0	0	0	0	1907.6	1907.6	"no"
0	0	0	0	1380.60869565217	1380.60869565217	"no"
0	0	0	0	1200.70588235294	1200.70588235294	"no"
0	0	0	0	2421	2421	"no"
0	0	0	0	1377.5	1377.5	"no"
0	0	0	0	2853.28571428571	2853.28571428571	"no"
0	0	0	0	957.9	957.9	"no"
0	0	0	0	3661.14285714286	3661.14285714286	"no"
0	0	0	0	1189.28571428571	1189.28571428571	"no"
0	0	0	0	1335.57142857143	1335.57142857143	"no"
0	0	0	0	1819.14285714286	1819.14285714286	"no"
0	0	0	0	5356.75	5356.75	"no"
0	0	0	0	3816.74074074074	3816.74074074074	"no"
0	0	0	0	1632.9	1632.9	"no"
0	0	0	0	1437	1437	"no"
0	0	0	0	1251.5	1251.5	"no"
326.690623979097	471.253534401512	2.00000000000003	3.00000000000002	925.022729492188	928.500114594094	"no"
0	0	0	0	1748.6	1748.6	"no"
0	0	0	0	708	708	"no"
0	0	0	0	1892.5	1892.5	"no"
0	0	0	0	1656.86666666667	1656.86666666667	"no"
0	0	0	0	2394	2394	"no"
0	0	0	0	831.914285714286	831.914285714286	"no"
0	0	0	0	2039.9	2039.9	"no"
0	0	0	0	5648	5648	"no"
0	0	0	0	1264.69696969697	1264.69696969697	"no"
0	0	0	0	2087.625	2087.625	"no"
0	0	0	0	1913.4	1913.4	"no"
0	0	0	0	1259.7	1259.7	"no"
7187.19372754013	8482.56361922721	44.0000000000007	54.0000000000004	525.960874950466	521.600332223712	"no"
0	0	0	0	571.091936556628	571.091936556628	"no"
0	0	0	0	1863.625	1863.625	"no"
0	0	0	0	4964.08333333333	4964.08333333333	"no"
0	0	0	0	8727	8727	"no"
0	0	0	0	3391	3391	"no"
0	0	0	0	1453.5	1453.5	"no"
0	0	0	0	2553.77777777778	2553.77777777778	"no"
0	0	0	0	1583.71428571429	1583.71428571429	"no"
0	0	0	0	1384.75	1384.75	"no"
0	0	0	0	1260.36111111111	1260.36111111111	"no"
0	0	0	0	3050.4	3050.4	"no"
0	0	0	0	2165.45454545455	2165.45454545455	"no"
163.345311989548	0	1.00000000000001	0	6115	6115	"no"
0	0	0	0	2021	2021	"no"
0	0	0	0	1535.875	1535.875	"no"
0	0	0	0	1751.5	1751.5	"no"
0	0	0	0	1674	1674	"no"
0	0	0	0	985.882352941176	985.882352941176	"no"
0	0	0	0	1905	1905	"no"
163.345311989548	157.08451146717	1.00000000000001	1.00000000000001	1595	1595	"no"
163.345311989548	157.08451146717	1.00000000000001	1.00000000000001	1703	1365	"no"
0	157.08451146717	0	1.00000000000001	1407.66666384493	1407.66666666667	"no"
0	0	0	0	859.083333333333	859.083333333333	"no"
0	0	0	0	1378.38461538462	1378.38461538462	"no"
0	0	0	0	2654.3	2654.3	"no"
0	0	0	0	1505.77777777778	1505.77777777778	"no"
0	0	0	0	1125.9	1125.9	"no"
0	0	0	0	2152.33333333333	2152.33333333333	"no"
0	0	0	0	1946.28571428571	1946.28571428571	"no"
0	0	0	0	2312.22222222222	2312.22222222222	"no"
0	0	0	0	944.5	944.5	"no"
0	0	0	0	851.833333333333	851.833333333333	"no"
0	157.08451146717	0	1.00000000000001	1399	1399	"no"
0	157.08451146717	0	1.00000000000001	804	804	"no"
0	0	0	0	2287.7	2287.7	"no"
0	0	0	0	1032.83333333333	1032.83333333333	"no"
0	157.08451146717	0	1.00000000000001	1387	1387	"no"
0	0	0	0	1040	1040	"no"
0	0	0	0	1390.28571428571	1390.28571428571	"no"
0	0	0	0	1763.66666666667	1763.66666666667	"no"
0	0	0	0	1098.78571428571	1098.78571428571	"no"
0	0	0	0	6028.8	6028.8	"no"
0	0	0	0	1644.375	1644.375	"no"
0	0	0	0	3312.5	3312.5	"no"
0	0	0	0	902.3	902.3	"no"
0	0	0	0	2370.6	2370.6	"no"
