"","hgnc_symbol","ref_seq_id","ensembl_gene_id","entrezgene_id"
"2","RPL31","ENST00000264258","ENSG00000071082",6160
"4","RPLP2","ENST00000321153","ENSG00000177600",6181
"5","MT-CO1","ENST00000361624","ENSG00000198804",4512
"6","MT-CO2","ENST00000361739","ENSG00000198712",4513
"9","MT-CO3","ENST00000362079","ENSG00000198938",4514
"12","RPL13A","ENST00000391857","ENSG00000142541",23521
"13","RPL41","ENST00000501597","ENSG00000229117",6171
